wins,losses,made_playoffs,playoff_round_reached,team_abbr,season,fetch_error,win_pct
48.0,34.0,1,2,ATL,2016,,0.5853658536585366
48.0,34.0,1,1,BOS,2016,,0.5853658536585366
21.0,61.0,0,0,BRK,2016,,0.2560975609756097
42.0,40.0,0,0,CHI,2016,,0.5121951219512195
48.0,34.0,1,1,CHO,2016,,0.5853658536585366
57.0,25.0,1,5,CLE,2016,,0.6951219512195121
42.0,40.0,1,1,DAL,2016,,0.5121951219512195
33.0,49.0,0,0,DEN,2016,,0.4024390243902439
44.0,38.0,1,1,DET,2016,,0.5365853658536586
73.0,9.0,1,4,GSW,2016,,0.8902439024390244
41.0,41.0,1,1,HOU,2016,,0.5
45.0,37.0,1,1,IND,2016,,0.5487804878048781
53.0,29.0,1,1,LAC,2016,,0.6463414634146342
17.0,65.0,0,0,LAL,2016,,0.2073170731707317
42.0,40.0,1,1,MEM,2016,,0.5121951219512195
48.0,34.0,1,2,MIA,2016,,0.5853658536585366
33.0,49.0,0,0,MIL,2016,,0.4024390243902439
29.0,53.0,0,0,MIN,2016,,0.3536585365853658
30.0,52.0,0,0,NOP,2016,,0.3658536585365853
32.0,50.0,0,0,NYK,2016,,0.3902439024390244
55.0,27.0,1,3,OKC,2016,,0.6707317073170732
35.0,47.0,0,0,ORL,2016,,0.4268292682926829
10.0,72.0,0,0,PHI,2016,,0.1219512195121951
23.0,59.0,0,0,PHO,2016,,0.2804878048780488
44.0,38.0,1,2,POR,2016,,0.5365853658536586
33.0,49.0,0,0,SAC,2016,,0.4024390243902439
67.0,15.0,1,2,SAS,2016,,0.8170731707317073
56.0,26.0,1,3,TOR,2016,,0.6829268292682927
40.0,42.0,0,0,UTA,2016,,0.4878048780487805
41.0,41.0,0,0,WAS,2016,,0.5
43.0,39.0,1,1,ATL,2017,,0.524390243902439
53.0,29.0,1,3,BOS,2017,,0.6463414634146342
20.0,62.0,0,0,BRK,2017,,0.2439024390243902
41.0,41.0,1,1,CHI,2017,,0.5
36.0,46.0,0,0,CHO,2017,,0.4390243902439024
51.0,31.0,1,4,CLE,2017,,0.6219512195121951
33.0,49.0,0,0,DAL,2017,,0.4024390243902439
40.0,42.0,0,0,DEN,2017,,0.4878048780487805
37.0,45.0,0,0,DET,2017,,0.4512195121951219
67.0,15.0,1,5,GSW,2017,,0.8170731707317073
55.0,27.0,1,2,HOU,2017,,0.6707317073170732
42.0,40.0,1,1,IND,2017,,0.5121951219512195
51.0,31.0,1,1,LAC,2017,,0.6219512195121951
26.0,56.0,0,0,LAL,2017,,0.3170731707317073
43.0,39.0,1,1,MEM,2017,,0.524390243902439
41.0,41.0,0,0,MIA,2017,,0.5
42.0,40.0,1,1,MIL,2017,,0.5121951219512195
31.0,51.0,0,0,MIN,2017,,0.3780487804878049
34.0,48.0,0,0,NOP,2017,,0.4146341463414634
31.0,51.0,0,0,NYK,2017,,0.3780487804878049
47.0,35.0,1,1,OKC,2017,,0.573170731707317
29.0,53.0,0,0,ORL,2017,,0.3536585365853658
28.0,54.0,0,0,PHI,2017,,0.3414634146341463
24.0,58.0,0,0,PHO,2017,,0.2926829268292683
41.0,41.0,1,1,POR,2017,,0.5
32.0,50.0,0,0,SAC,2017,,0.3902439024390244
61.0,21.0,1,3,SAS,2017,,0.7439024390243902
51.0,31.0,1,2,TOR,2017,,0.6219512195121951
51.0,31.0,1,2,UTA,2017,,0.6219512195121951
49.0,33.0,1,2,WAS,2017,,0.5975609756097561
24.0,58.0,0,0,ATL,2018,,0.2926829268292683
55.0,27.0,1,3,BOS,2018,,0.6707317073170732
28.0,54.0,0,0,BRK,2018,,0.3414634146341463
27.0,55.0,0,0,CHI,2018,,0.3292682926829268
36.0,46.0,0,0,CHO,2018,,0.4390243902439024
50.0,32.0,1,4,CLE,2018,,0.6097560975609756
24.0,58.0,0,0,DAL,2018,,0.2926829268292683
46.0,36.0,0,0,DEN,2018,,0.5609756097560976
39.0,43.0,0,0,DET,2018,,0.4756097560975609
58.0,24.0,1,5,GSW,2018,,0.7073170731707317
65.0,17.0,1,3,HOU,2018,,0.7926829268292683
48.0,34.0,1,1,IND,2018,,0.5853658536585366
42.0,40.0,0,0,LAC,2018,,0.5121951219512195
35.0,47.0,0,0,LAL,2018,,0.4268292682926829
22.0,60.0,0,0,MEM,2018,,0.2682926829268293
44.0,38.0,1,1,MIA,2018,,0.5365853658536586
44.0,38.0,1,1,MIL,2018,,0.5365853658536586
47.0,35.0,1,1,MIN,2018,,0.573170731707317
48.0,34.0,1,2,NOP,2018,,0.5853658536585366
29.0,53.0,0,0,NYK,2018,,0.3536585365853658
48.0,34.0,1,1,OKC,2018,,0.5853658536585366
25.0,57.0,0,0,ORL,2018,,0.3048780487804878
52.0,30.0,1,2,PHI,2018,,0.6341463414634146
21.0,61.0,0,0,PHO,2018,,0.2560975609756097
49.0,33.0,1,1,POR,2018,,0.5975609756097561
27.0,55.0,0,0,SAC,2018,,0.3292682926829268
47.0,35.0,1,1,SAS,2018,,0.573170731707317
59.0,23.0,1,2,TOR,2018,,0.7195121951219512
48.0,34.0,1,2,UTA,2018,,0.5853658536585366
43.0,39.0,1,1,WAS,2018,,0.524390243902439
29.0,53.0,0,0,ATL,2019,,0.3536585365853658
49.0,33.0,1,2,BOS,2019,,0.5975609756097561
42.0,40.0,1,1,BRK,2019,,0.5121951219512195
22.0,60.0,0,0,CHI,2019,,0.2682926829268293
39.0,43.0,0,0,CHO,2019,,0.4756097560975609
19.0,63.0,0,0,CLE,2019,,0.2317073170731707
33.0,49.0,0,0,DAL,2019,,0.4024390243902439
54.0,28.0,1,2,DEN,2019,,0.6585365853658537
41.0,41.0,1,1,DET,2019,,0.5
57.0,25.0,1,4,GSW,2019,,0.6951219512195121
53.0,29.0,1,2,HOU,2019,,0.6463414634146342
48.0,34.0,1,1,IND,2019,,0.5853658536585366
48.0,34.0,1,1,LAC,2019,,0.5853658536585366
37.0,45.0,0,0,LAL,2019,,0.4512195121951219
33.0,49.0,0,0,MEM,2019,,0.4024390243902439
39.0,43.0,0,0,MIA,2019,,0.4756097560975609
60.0,22.0,1,3,MIL,2019,,0.7317073170731707
36.0,46.0,0,0,MIN,2019,,0.4390243902439024
33.0,49.0,0,0,NOP,2019,,0.4024390243902439
17.0,65.0,0,0,NYK,2019,,0.2073170731707317
49.0,33.0,1,1,OKC,2019,,0.5975609756097561
42.0,40.0,1,1,ORL,2019,,0.5121951219512195
51.0,31.0,1,2,PHI,2019,,0.6219512195121951
19.0,63.0,0,0,PHO,2019,,0.2317073170731707
53.0,29.0,1,3,POR,2019,,0.6463414634146342
39.0,43.0,0,0,SAC,2019,,0.4756097560975609
48.0,34.0,1,1,SAS,2019,,0.5853658536585366
58.0,24.0,1,5,TOR,2019,,0.7073170731707317
50.0,32.0,1,1,UTA,2019,,0.6097560975609756
32.0,50.0,0,0,WAS,2019,,0.3902439024390244
20.0,47.0,0,0,ATL,2020,,0.29850746268656714
48.0,24.0,1,3,BOS,2020,,0.6666666666666666
35.0,37.0,1,1,BRK,2020,,0.4861111111111111
22.0,43.0,0,0,CHI,2020,,0.3384615384615385
23.0,42.0,0,0,CHO,2020,,0.3538461538461538
19.0,46.0,0,0,CLE,2020,,0.2923076923076923
43.0,32.0,1,1,DAL,2020,,0.5733333333333334
46.0,27.0,1,3,DEN,2020,,0.6301369863013698
20.0,46.0,0,0,DET,2020,,0.303030303030303
15.0,50.0,0,0,GSW,2020,,0.2307692307692307
44.0,28.0,1,2,HOU,2020,,0.6111111111111112
45.0,28.0,1,1,IND,2020,,0.6164383561643836
49.0,23.0,1,2,LAC,2020,,0.6805555555555556
52.0,19.0,1,5,LAL,2020,,0.7323943661971831
34.0,39.0,0,0,MEM,2020,,0.4657534246575342
44.0,29.0,1,4,MIA,2020,,0.6027397260273972
56.0,17.0,1,2,MIL,2020,,0.7671232876712328
19.0,45.0,0,0,MIN,2020,,0.296875
30.0,42.0,0,0,NOP,2020,,0.4166666666666667
21.0,45.0,0,0,NYK,2020,,0.3181818181818182
44.0,28.0,1,1,OKC,2020,,0.6111111111111112
33.0,40.0,1,1,ORL,2020,,0.4520547945205479
43.0,30.0,1,1,PHI,2020,,0.589041095890411
34.0,39.0,0,0,PHO,2020,,0.4657534246575342
35.0,39.0,1,1,POR,2020,,0.4729729729729729
31.0,41.0,0,0,SAC,2020,,0.4305555555555556
32.0,39.0,0,0,SAS,2020,,0.4507042253521127
53.0,19.0,1,2,TOR,2020,,0.7361111111111112
44.0,28.0,1,1,UTA,2020,,0.6111111111111112
25.0,47.0,0,0,WAS,2020,,0.3472222222222222
41.0,31.0,1,3,ATL,2021,,0.5694444444444444
36.0,36.0,1,1,BOS,2021,,0.5
48.0,24.0,1,2,BRK,2021,,0.6666666666666666
31.0,41.0,0,0,CHI,2021,,0.4305555555555556
33.0,39.0,0,0,CHO,2021,,0.4583333333333333
22.0,50.0,0,0,CLE,2021,,0.3055555555555556
42.0,30.0,1,1,DAL,2021,,0.5833333333333334
47.0,25.0,1,2,DEN,2021,,0.6527777777777778
20.0,52.0,0,0,DET,2021,,0.2777777777777778
39.0,33.0,0,0,GSW,2021,,0.5416666666666666
17.0,55.0,0,0,HOU,2021,,0.2361111111111111
34.0,38.0,0,0,IND,2021,,0.4722222222222222
47.0,25.0,1,3,LAC,2021,,0.6527777777777778
42.0,30.0,1,1,LAL,2021,,0.5833333333333334
38.0,34.0,1,1,MEM,2021,,0.5277777777777778
40.0,32.0,1,1,MIA,2021,,0.5555555555555556
46.0,26.0,1,5,MIL,2021,,0.6388888888888888
23.0,49.0,0,0,MIN,2021,,0.3194444444444444
31.0,41.0,0,0,NOP,2021,,0.4305555555555556
41.0,31.0,1,1,NYK,2021,,0.5694444444444444
22.0,50.0,0,0,OKC,2021,,0.3055555555555556
21.0,51.0,0,0,ORL,2021,,0.2916666666666667
49.0,23.0,1,2,PHI,2021,,0.6805555555555556
51.0,21.0,1,4,PHO,2021,,0.7083333333333334
42.0,30.0,1,1,POR,2021,,0.5833333333333334
31.0,41.0,0,0,SAC,2021,,0.4305555555555556
33.0,39.0,0,0,SAS,2021,,0.4583333333333333
27.0,45.0,0,0,TOR,2021,,0.375
52.0,20.0,1,2,UTA,2021,,0.7222222222222222
34.0,38.0,1,1,WAS,2021,,0.4722222222222222
43.0,39.0,1,1,ATL,2022,,0.524390243902439
51.0,31.0,1,4,BOS,2022,,0.6219512195121951
44.0,38.0,1,1,BRK,2022,,0.5365853658536586
46.0,36.0,1,1,CHI,2022,,0.5609756097560976
43.0,39.0,0,0,CHO,2022,,0.524390243902439
44.0,38.0,0,0,CLE,2022,,0.5365853658536586
52.0,30.0,1,3,DAL,2022,,0.6341463414634146
48.0,34.0,1,1,DEN,2022,,0.5853658536585366
23.0,59.0,0,0,DET,2022,,0.2804878048780488
53.0,29.0,1,5,GSW,2022,,0.6463414634146342
20.0,62.0,0,0,HOU,2022,,0.2439024390243902
25.0,57.0,0,0,IND,2022,,0.3048780487804878
42.0,40.0,0,0,LAC,2022,,0.5121951219512195
33.0,49.0,0,0,LAL,2022,,0.4024390243902439
56.0,26.0,1,2,MEM,2022,,0.6829268292682927
53.0,29.0,1,3,MIA,2022,,0.6463414634146342
51.0,31.0,1,2,MIL,2022,,0.6219512195121951
46.0,36.0,1,1,MIN,2022,,0.5609756097560976
36.0,46.0,1,1,NOP,2022,,0.4390243902439024
37.0,45.0,0,0,NYK,2022,,0.4512195121951219
24.0,58.0,0,0,OKC,2022,,0.2926829268292683
22.0,60.0,0,0,ORL,2022,,0.2682926829268293
51.0,31.0,1,2,PHI,2022,,0.6219512195121951
64.0,18.0,1,2,PHO,2022,,0.7804878048780488
27.0,55.0,0,0,POR,2022,,0.3292682926829268
30.0,52.0,0,0,SAC,2022,,0.3658536585365853
34.0,48.0,0,0,SAS,2022,,0.4146341463414634
48.0,34.0,1,1,TOR,2022,,0.5853658536585366
49.0,33.0,1,1,UTA,2022,,0.5975609756097561
35.0,47.0,0,0,WAS,2022,,0.4268292682926829
41.0,41.0,1,1,ATL,2023,,0.5
57.0,25.0,1,3,BOS,2023,,0.6951219512195121
45.0,37.0,1,1,BRK,2023,,0.5487804878048781
40.0,42.0,0,0,CHI,2023,,0.4878048780487805
27.0,55.0,0,0,CHO,2023,,0.3292682926829268
51.0,31.0,1,1,CLE,2023,,0.6219512195121951
38.0,44.0,0,0,DAL,2023,,0.4634146341463415
53.0,29.0,1,5,DEN,2023,,0.6463414634146342
17.0,65.0,0,0,DET,2023,,0.2073170731707317
44.0,38.0,1,2,GSW,2023,,0.5365853658536586
22.0,60.0,0,0,HOU,2023,,0.2682926829268293
35.0,47.0,0,0,IND,2023,,0.4268292682926829
44.0,38.0,1,1,LAC,2023,,0.5365853658536586
43.0,39.0,1,3,LAL,2023,,0.524390243902439
51.0,31.0,1,1,MEM,2023,,0.6219512195121951
44.0,38.0,1,4,MIA,2023,,0.5365853658536586
58.0,24.0,1,1,MIL,2023,,0.7073170731707317
42.0,40.0,1,1,MIN,2023,,0.5121951219512195
42.0,40.0,0,0,NOP,2023,,0.5121951219512195
47.0,35.0,1,2,NYK,2023,,0.573170731707317
40.0,42.0,0,0,OKC,2023,,0.4878048780487805
34.0,48.0,0,0,ORL,2023,,0.4146341463414634
54.0,28.0,1,2,PHI,2023,,0.6585365853658537
45.0,37.0,1,2,PHO,2023,,0.5487804878048781
33.0,49.0,0,0,POR,2023,,0.4024390243902439
48.0,34.0,1,1,SAC,2023,,0.5853658536585366
22.0,60.0,0,0,SAS,2023,,0.2682926829268293
41.0,41.0,0,0,TOR,2023,,0.5
37.0,45.0,0,0,UTA,2023,,0.4512195121951219
35.0,47.0,0,0,WAS,2023,,0.4268292682926829
36.0,46.0,0,0,ATL,2024,,0.4390243902439024
64.0,18.0,1,5,BOS,2024,,0.7804878048780488
32.0,50.0,0,0,BRK,2024,,0.3902439024390244
39.0,43.0,0,0,CHI,2024,,0.4756097560975609
21.0,61.0,0,0,CHO,2024,,0.2560975609756097
48.0,34.0,1,2,CLE,2024,,0.5853658536585366
50.0,32.0,1,4,DAL,2024,,0.6097560975609756
57.0,25.0,1,2,DEN,2024,,0.6951219512195121
14.0,68.0,0,0,DET,2024,,0.1707317073170731
46.0,36.0,0,0,GSW,2024,,0.5609756097560976
41.0,41.0,0,0,HOU,2024,,0.5
47.0,35.0,1,3,IND,2024,,0.573170731707317
51.0,31.0,1,1,LAC,2024,,0.6219512195121951
47.0,35.0,1,1,LAL,2024,,0.573170731707317
27.0,55.0,0,0,MEM,2024,,0.3292682926829268
46.0,36.0,1,1,MIA,2024,,0.5609756097560976
49.0,33.0,1,1,MIL,2024,,0.5975609756097561
56.0,26.0,1,3,MIN,2024,,0.6829268292682927
49.0,33.0,1,1,NOP,2024,,0.5975609756097561
50.0,32.0,1,2,NYK,2024,,0.6097560975609756
57.0,25.0,1,2,OKC,2024,,0.6951219512195121
47.0,35.0,1,1,ORL,2024,,0.573170731707317
47.0,35.0,1,1,PHI,2024,,0.573170731707317
49.0,33.0,1,1,PHO,2024,,0.5975609756097561
21.0,61.0,0,0,POR,2024,,0.2560975609756097
46.0,36.0,0,0,SAC,2024,,0.5609756097560976
22.0,60.0,0,0,SAS,2024,,0.2682926829268293
25.0,57.0,0,0,TOR,2024,,0.3048780487804878
31.0,51.0,0,0,UTA,2024,,0.3780487804878049
15.0,67.0,0,0,WAS,2024,,0.1829268292682926
